"","variable","metric","value","stat","comparison"
"PGEDO.1","PGE","DO","28.4193284193284","Percent.sd.1.loc","variable"
"PGBDO.1","PGB","DO","29.6439628482972","Percent.sd.1.loc","variable"
"FBEDO.1","FBE","DO","24.8424543946932","Percent.sd.1.loc","variable"
"FBBDO.1","FBB","DO","29.3953919901036","Percent.sd.1.loc","variable"
"WBEDO.1","WBE","DO","26.4798488664987","Percent.sd.1.loc","variable"
"WBBDO.1","WBB","DO","25.9352801894238","Percent.sd.1.loc","variable"
"CIEDO.1","CIE","DO","32.4165915238954","Percent.sd.1.loc","variable"
"CIBDO.1","CIB","DO","34.0620384047267","Percent.sd.1.loc","variable"
"PGESal.1","PGE","Salinity","31.464766429137","Percent.sd.1.loc","variable"
"PGBSal.1","PGB","Salinity","NaN","Percent.sd.1.loc","variable"
"FBESal.1","FBE","Salinity","31.2874942316567","Percent.sd.1.loc","variable"
"FBBSal.1","FBB","Salinity","29.9931050333257","Percent.sd.1.loc","variable"
"WBESal.1","WBE","Salinity","32.355623100304","Percent.sd.1.loc","variable"
"WBBSal.1","WBB","Salinity","32.4541653264715","Percent.sd.1.loc","variable"
"CIESal.1","CIE","Salinity","NaN","Percent.sd.1.loc","variable"
"CIBSal.1","CIB","Salinity","33.9100346020761","Percent.sd.1.loc","variable"
"PGETemp.1","PGE","Temperature","4.96238425925926","Percent.sd.1.loc","variable"
"PGBTemp.1","PGB","Temperature","4.93344907407407","Percent.sd.1.loc","variable"
"FBETemp.1","FBE","Temperature","29.875283446712","Percent.sd.1.loc","variable"
"FBBTemp.1","FBB","Temperature","28.3163265306122","Percent.sd.1.loc","variable"
"WBETemp.1","WBE","Temperature","15.8942166421798","Percent.sd.1.loc","variable"
"WBBTemp.1","WBB","Temperature","22.9998664351543","Percent.sd.1.loc","variable"
"CIETemp.1","CIE","Temperature","30.484693877551","Percent.sd.1.loc","variable"
"CIBTemp.1","CIB","Temperature","27.7210884353742","Percent.sd.1.loc","variable"
"PGEpH.2","PGE","pH","NaN","Percent.sd.2.loc","variable"
"PGBpH.2","PGB","pH","2.99698795180723","Percent.sd.2.loc","variable"
"FBEpH.2","FBE","pH","4.8485752648068","Percent.sd.2.loc","variable"
"FBBpH.2","FBB","pH","2.32797996169147","Percent.sd.2.loc","variable"
"WBEpH.2","WBE","pH","4.90383203641169","Percent.sd.2.loc","variable"
"WBBpH.2","WBB","pH","4.27814938684504","Percent.sd.2.loc","variable"
"CIEpH.2","CIE","pH","5.79753679783719","Percent.sd.2.loc","variable"
"CIBpH.2","CIB","pH","5.96147459315842","Percent.sd.2.loc","variable"
"PGEDO.2","PGE","DO","5.38902538902539","Percent.sd.2.loc","variable"
"PGBDO.2","PGB","DO","5.44891640866873","Percent.sd.2.loc","variable"
"FBEDO.2","FBE","DO","7.13101160862355","Percent.sd.2.loc","variable"
"FBBDO.2","FBB","DO","5.62857584660585","Percent.sd.2.loc","variable"
"WBEDO.2","WBE","DO","7.35201511335013","Percent.sd.2.loc","variable"
"WBBDO.2","WBB","DO","7.24546172059984","Percent.sd.2.loc","variable"
"CIEDO.2","CIE","DO","4.67388037270815","Percent.sd.2.loc","variable"
"CIBDO.2","CIB","DO","4.51994091580502","Percent.sd.2.loc","variable"
"PGESal.2","PGE","Salinity","4.0221694378464","Percent.sd.2.loc","variable"
"PGBSal.2","PGB","Salinity","NaN","Percent.sd.2.loc","variable"
"FBESal.2","FBE","Salinity","4.43008767881864","Percent.sd.2.loc","variable"
"FBBSal.2","FBB","Salinity","5.14824178349805","Percent.sd.2.loc","variable"
"WBESal.2","WBE","Salinity","6.24620060790274","Percent.sd.2.loc","variable"
"WBBSal.2","WBB","Salinity","4.24573817947893","Percent.sd.2.loc","variable"
"CIESal.2","CIE","Salinity","NaN","Percent.sd.2.loc","variable"
"CIBSal.2","CIB","Salinity","3.58056265984655","Percent.sd.2.loc","variable"
"PGETemp.2","PGE","Temperature","2.67650462962963","Percent.sd.2.loc","variable"
"PGBTemp.2","PGB","Temperature","3.16840277777778","Percent.sd.2.loc","variable"
"FBETemp.2","FBE","Temperature","3.67063492063492","Percent.sd.2.loc","variable"
"FBBTemp.2","FBB","Temperature","3.79818594104308","Percent.sd.2.loc","variable"
"WBETemp.2","WBE","Temperature","3.68638974221985","Percent.sd.2.loc","variable"
"WBBTemp.2","WBB","Temperature","5.93027915052758","Percent.sd.2.loc","variable"
"CIETemp.2","CIE","Temperature","3.04705215419501","Percent.sd.2.loc","variable"
"CIBTemp.2","CIB","Temperature","3.0328798185941","Percent.sd.2.loc","variable"
